keys,en,pt,es
HW_RULES,"Guess the five-letter word in six tries. A green tile is the right letter in the right place; an amber one is in the word somewhere else; a grey one is not in the word at all.","Adivinhe a palavra de cinco letras em seis tentativas. Uma casa verde é a letra certa no lugar certo; uma âmbar está na palavra, mas em outro lugar; uma cinza não está na palavra. Os acentos não contam: digite sem eles.","Adivina la palabra de cinco letras en seis intentos. Una casilla verde es la letra correcta en el lugar correcto; una ámbar está en la palabra, pero en otro lugar; una gris no está en la palabra. Las tildes no cuentan, pero la Ñ es una letra."
HW_TOAST_LENGTH,Five letters,Cinco letras,Cinco letras
HW_TOAST_NOT_WORD,Not a word,Não é uma palavra,No es una palabra
HW_TOAST_REPEAT,You guessed that already,Você já tentou essa,Ya probaste esa
HW_WORD_WAS,The word was,A palavra era,La palabra era
HW_WIN,Found it.,Acertou!,¡La encontraste!
WT_MOTTO,Every letter finds its way,Cada letra acha seu caminho,Cada letra encuentra su camino
WT_SHORT,"Trace the words,\nfill the field.","Ache as palavras,\nencha o campo.","Traza palabras,\nllena el campo."
WT_TIP_DRAG,Drag from letter to letter. Never diagonally.,Arraste de letra em letra. Nunca na diagonal.,Arrastra de letra en letra. Nunca en diagonal.
WT_TIP_ONE_WORD,Every open tile belongs to one word.,Cada casa aberta pertence a uma palavra.,Cada casilla abierta pertenece a una palabra.
WT_TIP_LENGTHS,The lengths under the field are the only clue.,Os tamanhos embaixo do campo são a única pista.,Las longitudes bajo el campo son la única pista.
WT_TIP_FREE,A wrong trail costs nothing. Try another.,Um caminho errado não custa nada. Tente outro.,Un camino equivocado no cuesta nada. Prueba otro.
WT_FILLED,That is the field filled.,O campo está completo.,El campo está completo.
WT_ONE_LEFT,One word left.,Falta uma palavra.,Queda una palabra.
WT_N_LEFT,%d words left.,Faltam %d palavras.,Quedan %d palabras.
WT_TAKEN_BACK,Taken back.,Desfeito.,Deshecho.
WT_CLEAN,A clean field.,Campo limpo.,Campo limpio.
WT_HINT_START,A word starts on the glowing tile.,Uma palavra começa na casa que brilha.,Una palabra empieza en la casilla que brilla.
WT_HINT_MORE,It carries on through the glow.,Ela continua pelo brilho.,Sigue por el brillo.
WT_WIN,Every letter found its way.,Cada letra achou seu caminho.,Cada letra encontró su camino.
WT_RULES,"Drag from letter to letter -- up, down, left or right, never diagonally -- to trace a hidden word. A trail may bend as often as it likes, but it may not cross a grey wall or a word you have already found. You are never told the words, only how long each one is: the boxes under the field are the lengths, shortest first. Every open tile belongs to exactly one word, so when the last word is traced the field is full. A trail that is not one of today's words simply unwinds -- it costs you nothing.","Arraste de letra em letra -- para cima, para baixo, para a esquerda ou para a direita, nunca na diagonal -- para traçar uma palavra escondida. O caminho pode dobrar quantas vezes quiser, mas não pode cruzar uma parede cinza nem uma palavra que você já encontrou. As palavras nunca são reveladas, só o tamanho de cada uma: as caixas embaixo do campo são os tamanhos, da menor para a maior. Cada casa aberta pertence a exatamente uma palavra, então, quando a última palavra é traçada, o campo fica cheio. Um caminho que não é uma das palavras de hoje simplesmente se desfaz -- não custa nada.","Arrastra de letra en letra -- arriba, abajo, a la izquierda o a la derecha, nunca en diagonal -- para trazar una palabra oculta. El camino puede doblar tantas veces como quiera, pero no puede cruzar una pared gris ni una palabra que ya encontraste. Nunca se dicen las palabras, solo cuánto mide cada una: las casillas bajo el campo son las longitudes, de la más corta a la más larga. Cada casilla abierta pertenece a exactamente una palabra, así que cuando trazas la última el campo queda lleno. Un camino que no es una de las palabras de hoy simplemente se deshace: no te cuesta nada."
HW_LVL_0,Everyday words,Palavras do dia a dia,Palabras cotidianas
HW_LVL_1,Less common words,Palavras menos comuns,Palabras menos comunes
HW_LVL_2,Any word,Qualquer palavra,Cualquier palabra
HW_LVL_3,"Any word, no hints","Qualquer palavra, sem dicas","Cualquier palabra, sin pistas"
WT_LVL_0,"4 words, 5 × 5","4 palavras, 5 × 5","4 palabras, 5 × 5"
WT_LVL_1,"6 words, 6 × 6","6 palavras, 6 × 6","6 palabras, 6 × 6"
WT_LVL_2,"6 words, 7 × 7","6 palavras, 7 × 7","6 palabras, 7 × 7"
WT_LVL_3,"6 words, 8 × 8","6 palavras, 8 × 8","6 palabras, 8 × 8"
WIN_HEARTS,%d of 3 today,%d de 3 hoje,%d de 3 hoy
WIN_DAY_KEPT,Day kept · streak %d,Dia garantido · sequência %d,Día conseguido · racha %d
WIN_STREAK,Streak %d,Sequência %d,Racha %d
STREAK_DAYS,day streak,dias seguidos,días seguidos
STREAK_BEST,Best,Recorde,Récord
STREAK_REST,Rest days,Dias de folga,Días de descanso
STREAK_NEXT_REST,Next rest day,Próxima folga,Próximo descanso
TODAY_LINE_0,Solve three to keep the streak,Resolva três para manter a sequência,Resuelve tres para mantener la racha
TODAY_LINE_1,Two more keep the streak,Mais dois mantêm a sequência,Dos más mantienen la racha
TODAY_LINE_2,One more keeps the streak,Mais um mantém a sequência,Uno más mantiene la racha
TODAY_LINE_3,Day kept,Dia garantido,Día conseguido
WEEKDAY_INITIALS,MTWTFSS,STQQSSD,LMXJVSD
MONTH_1,January,Janeiro,Enero
MONTH_2,February,Fevereiro,Febrero
MONTH_3,March,Março,Marzo
MONTH_4,April,Abril,Abril
MONTH_5,May,Maio,Mayo
MONTH_6,June,Junho,Junio
MONTH_7,July,Julho,Julio
MONTH_8,August,Agosto,Agosto
MONTH_9,September,Setembro,Septiembre
MONTH_10,October,Outubro,Octubre
MONTH_11,November,Novembro,Noviembre
MONTH_12,December,Dezembro,Diciembre
STATS_SOLVED,Solved,Resolvidos,Resueltos
STATS_DAYS,Days played,Dias jogados,Días jugados
STATS_BEST_STREAK,Best streak,Melhor sequência,Mejor racha
STATS_COUNT,%d solved,%d resolvidos,%d resueltos
